review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
2c5e27fc178bde7ac173c9c62c31b070,0ce9a24111d850192a933fcaab6fbad3,1,,Não gostei ! Comprei gato por lebre,2017-12-13 00:00:00,2017-12-16 07:14:07
c0f4c8301f8c29d6f53d239e194bb4c2,04db86e3493b3724ac4bd3c9a397e23c,5,,,2017-09-12 00:00:00,2017-09-13 14:33:49
8b230a1373c6dc4bd867099fda1d7039,071251fe3b3493294536f03737a8a679,3,,Eu comprei duas unidades e só recebi uma e agora o que faço?,2017-11-09 00:00:00,2017-11-10 10:38:37
c2babb5fd0e3e13707274820a7227d25,0193a99edc8c599aaa16f9b9e991efb8,5,,,2018-08-02 00:00:00,2018-08-03 04:55:37
033fb23c97ecb11c0548f4763bef5773,0b8c6aefe987f59ab3cea15927aedc8e,5,,,2017-12-29 00:00:00,2017-12-29 19:51:26
42ae74a43661be8587b2e2db054179db,0a187dd7f4efe70e8c3b6e3779b3b133,5,,Ótimo custo-benefício,2017-09-14 00:00:00,2017-09-15 14:15:14
5241fcad10d7b45a1761f1e1e1536faa,0bcbcc3e0a09b3f6a9495de35f452616,5,super recomendo,"chegou dentro do prazo e o produto é de excelente qualidade! Acabou as dores nas costas, estou dormindo muito bem!",2018-07-07 00:00:00,2018-07-09 18:12:17
3a3ea86822a881a0e7c2245b37472eb9,02bd92abe094825e0683bacaacb64285,5,,,2017-12-15 00:00:00,2017-12-15 21:51:08
7914fa319f12631679d1704d7dcd17df,06ecfa8dfae87263e05d953aa561603d,5,Top,Recomendo,2018-08-22 00:00:00,2018-08-23 01:51:28
eb6d75bedecae7b3dbea11b8530637d8,00b9e0f8f588d0406a3de447eb606970,5,,Excelente produto.,2018-02-17 00:00:00,2018-02-19 16:20:08
c29578721fec42d32a8df09c414aa4fd,04eef545c54d444825c506ba170a26bd,1,,,2017-05-17 00:00:00,2017-05-21 12:41:38
b2be7263730fe13fdea91e59192fcdde,08288e829c6b9a810a4392bbc30545dc,4,,,2017-12-09 00:00:00,2017-12-12 20:32:57
7d6004d7847ccfef51fb4110ea0e7c57,0a76ae785560c5882874b2738c60d958,5,,,2017-08-18 00:00:00,2017-08-21 12:23:58
07b48dbc11677f5021dbefcaba550ed2,0527142b56f235b4936a8573f33b020b,5,,"O produto chegou bem antes do prazo estipulado, amei o atendimento! Super recomendo ",2017-07-26 00:00:00,2017-07-27 22:55:48
5442f4e36faa9fd2ed031c645a9d9acf,043f43899c67438005004d160d18f55c,5,,,2018-06-20 00:00:00,2018-06-22 21:53:48
8dbb6fde7a7415595ef18047707f2f42,031cf625cad56f5761e51c2675f0c0ae,3,,,2017-04-05 00:00:00,2017-04-07 19:16:11
755509047344db65b4c12fe56626765d,08d7ec7381dc51d41a0e4d86314b7a98,1,,,2017-01-27 00:00:00,2017-01-30 17:40:30
ff3a1044a7a8dfad3e9c8eae2a39420c,09744659d8e64274cf91bb288d9c3aec,5,,,2018-07-31 00:00:00,2018-07-31 22:16:27
5f8ed42b9eee8adbd7344caca4ca507e,05ad071b550b1cf2815e8bf3bec3291f,4,,bom em todos os aspectos,2017-05-20 00:00:00,2017-05-23 10:43:03
92e62e4f3ea203ac193f3271d85b11ea,061295e635460bf36f1bb41bd54fd2d2,5,,Gostei!,2017-12-20 00:00:00,2017-12-21 00:39:53
b189da69da7ab9594434aae851c4945e,0a178d660889f4e9ef1087483fd6ce9d,5,,,2017-03-29 00:00:00,2017-03-30 10:36:53
004580d2657b221e45f84f4169675ecd,049ede3fc839758e81752a9dacd1f911,5,,,2018-08-11 00:00:00,2018-08-11 18:03:41
36bbb1ae000efabd9bfe4e1923a159ff,08cd10d946b1fabbe08d3ec8dcab8777,4,,,2017-08-19 00:00:00,2017-08-20 04:23:19
5fdcb2a2c4de7fbbf5715788535f4a96,058350ebe1e9c9b426d1331b4b6063d1,4,,"Gostei muito do produto era exatamente boque eu esperava, entrega dentro do prazo, parabéns recomendo a loja",2017-03-31 00:00:00,2017-04-03 14:38:12
9d14b1424ca737608bc50f9d3c1a78bb,04ad8c8d81d4c6b6936947bfe41c20fd,3,,"Produto de boa qualidade, exatamente conforme anunciado, e o preço baixo é uma atrativo a mais.",2018-03-20 00:00:00,2018-03-21 03:11:29
19910e37f2130c56f553edfbdc0c65fb,00b12f4674177ef40c4bdb034138c843,5,Ótimo custo x benefício,Produto chegou dentro do prazo. Veio conforme descrição e é excelente.,2018-07-21 00:00:00,2018-07-24 13:29:35
4fa8392da03c452f77faa3f2952fa346,0bb77e62d791c3e5b009815ac19825be,5,Bom ,Muito bom mesmo!,2018-05-24 00:00:00,2018-05-26 15:55:48
f11d548dc1a7c713bff0b6d2ef0dff7c,0016dfedd97fc2950e388d2971d718c7,5,,,2017-05-23 00:00:00,2017-05-24 20:08:51
19074f5809403265fc47263ea93325ee,028d62c0fdae574114981f4fb33b5538,2,,Comprei o produto dia em inicio de março e não recebi no prazo abrindo até um protocolo para resolverem minha situação,2018-03-29 00:00:00,2018-03-29 15:32:27
c54629f4fc4dcf65a10efb35322ec769,06ef1c484cc535575da1724b5c6b913a,1,,"Não recebi o produto, assim como nenhum contato por parte do .vendedor",2018-05-12 00:00:00,2018-05-14 09:56:51
bbb937e9c2b62a2205af03e8a7fed42b,0ba01684638233b0955369c3ccbdb414,2,,"comprei um relogio de presente de natal para meu filho e ate agora nao chegou. enviei mensagens e na ultima conversa o relogio chegaria ontem, porem nao recebi nada.",2018-01-06 00:00:00,2018-01-11 10:44:19
77ac6288ca3e09284cb264d6b0b4d7a2,0ad0006728103ff08cda112f7940bcd1,5,,só poderia entregar mais rápido fim de ano ,2017-12-29 00:00:00,2017-12-29 22:23:00
624b50017953c221553a76cb6054fd99,0aa9e8581362267ddb91df2f3a64f811,5,,,2018-04-03 00:00:00,2018-04-07 01:43:38
057c9a1e8e767d8bf6fa59ac43a82435,0adf68e8a310f18fc7e75cffa60901b2,4,4,,2018-07-13 00:00:00,2018-07-14 17:25:04
