order_id,payment_sequential,payment_type,payment_installments,payment_value
0573b5e23cbd798006520e1d5b4c6714,1,boleto,1,51.95
00d8d65b666158b633f96054d31af43b,1,boleto,1,130.88
0b65284a1a74114ea029b7676fdc1ba3,1,credit_card,7,144.20
0c99132c4ff916416ba8f74c378f1cbc,1,credit_card,4,135.93
0a9716da94d89975e6637874280aadad,1,credit_card,10,165.96
07d13d352c85dfbfa60dc56dea818335,1,boleto,1,32.62
03afb3c10af52ddfa3c33b9881bf43f8,1,credit_card,2,131.50
02951078a21a2d9341ea16089a4d5031,1,credit_card,12,257.10
068176c8a0550b07cddf7e05c8d55319,1,boleto,1,123.82
0435b65bfd0a1cd1c48a82f5b405ea78,1,credit_card,4,154.14
08935d5052c6414b1960eb67796d01f5,1,credit_card,4,117.39
009ac365164f8e06f59d18a08045f6c4,5,voucher,1,8.75
07a26b88cc90e93f5c9401de11a60793,1,credit_card,1,20.29
06ff6cb289c9f1d1ccacc6764874e3c2,1,credit_card,1,57.89
0bdb173bda4bf7e4109fe707c309252a,1,credit_card,10,132.95
0cd19e832fefb17664d1a294b90ad192,1,credit_card,10,110.20
0930df388b21f34fc3f0e3baa9a73016,1,credit_card,1,26.09
0705d1148d3c3d342f1a8c8ad33e5d3f,1,credit_card,10,117.85
0913c46b1cafecb52e5a9a55b6c0e0fc,1,boleto,1,147.00
019bdbaef5b5121c9b1811976aa510a5,1,boleto,1,108.64
0b3d8a1bbaa4e340e25adfd640f70308,1,credit_card,12,190.09
0a629239073738043764cd721c8ab2da,1,credit_card,1,46.81
0cc14454cb400b7b154e0a45ffd5c2f9,1,credit_card,1,57.11
01e6f40a293da5a9dc11e49695c7541d,1,boleto,1,64.09
08bc5baa3da6ce0746413cd9cf227e9e,1,credit_card,2,165.50
09c681e9069e20d7f2ecd587151f1b88,1,credit_card,5,311.57
069872f35a2ed2d455f9b64e914dd4bd,1,credit_card,1,72.62
05c5f6468206cec16a8c99f231bbbe86,1,credit_card,5,161.88
065fb1ee0ec59ea0a68b3105a59a69ce,1,credit_card,5,104.27
067a8c6d7efd34e3595ef4bf1500c766,1,credit_card,1,35.05
048cc31326007f07b576b46beddecc12,1,boleto,1,272.58
0132158c30672a8c52997a2492613ec2,1,credit_card,8,413.31
081e5884f403fbe66f3bce77c72c9230,1,credit_card,1,43.58
0b365bbd59e2f75bea276c81bb916dcb,1,credit_card,1,2.78
055f84fd2ebf314ebec85f8e1312f4f4,1,credit_card,2,185.84
068ef03abe39323450b52f486b34bf3d,1,credit_card,1,76.78
0ad81eec70d65880c30299b73ac7945d,1,boleto,1,160.74
04031f8b12339dcc12fa340fe96f00a6,1,credit_card,2,70.97
0c4c42e7e040dc423699b1d019b684e1,1,boleto,1,79.69
026a69b8c98fbfc61de9050c41f1dd95,1,credit_card,3,135.47
0588a3721b3d0a1f0b549fb84fd9cf10,1,credit_card,1,109.31
09249f4625a56408772a45322aadd544,1,credit_card,8,138.84
035c01a45e289b155db4e47cf39b29d3,1,boleto,1,93.80
023b49300b34f2b9961857266df731dc,1,credit_card,2,162.75
0c1457493ca1492c4a4417fc278605b0,2,voucher,1,50.00
059d893dde97f787f2f608d5a5d13e0b,1,boleto,1,61.94
03da04c1427d7b8bff38d76efca1029d,1,boleto,1,216.74
0a1a904fb2f51218c9c7ce314190de36,1,credit_card,2,115.90
05ddf4cc62efcc6f34b8c693eaa2db01,1,credit_card,4,88.58
04497a3993ecf2e604b91ca0a8a80ecd,1,credit_card,1,81.60
0bfa8870838091fe8171ed69f6b89fee,1,credit_card,1,64.86
069d921a767dfeb76fb4a7f39bc4217c,1,credit_card,1,158.21
04f1827088d972a62224f5203a071500,1,credit_card,10,178.06
0b843b79b45dddbd796c0a7e51b2c6ca,1,boleto,1,481.07
02b939dcd55f2b17680e10690deb08b5,1,credit_card,4,176.16
071d86b8fc66cad2d0bb93775be89392,1,credit_card,5,103.15
033e33708df28579692a3d19492c6553,1,credit_card,1,145.57
0464277e582666bde336336fd5fb9ff8,1,credit_card,10,158.98
0a58de38cd66544f6bbe4f5ab326e5f6,1,credit_card,5,123.29
0c3d62f1aa70d604db3bc56082aee4ca,1,credit_card,10,531.92
0cc893e70885ba7fc151e85141326ef5,1,boleto,1,158.73
0c7a17af18a4180dbfee261ce22edb69,1,credit_card,5,205.45
062afb045916ff90100893d5df84c186,1,credit_card,2,142.92
010e7dda85fff564e8b7076ae3928efb,1,credit_card,10,133.34
07144524b0b12343da7f0e7227dcb28d,1,boleto,1,100.34
049446a8732fca98a50e6767bb58bd49,1,boleto,1,66.01
0b958a89cde3a26acc1aaa43b64b999f,1,credit_card,1,32.09
