seller_id,seller_zip_code_prefix,seller_city,seller_state
d1b65fc7debc3361ea86b5f14c68d2e2,13844,mogi guacu,SP
ce3ad9de960102d0677a81f5d0bb7b2d,20031,rio de janeiro,RJ
e49c26c3edfa46d227d5121a6b6e4d37,55325,brejao,PE
1b938a7ec6ac5061a66a3766e0e75f90,16304,penapolis,SP
ccc4bbb5f32a6ab2b7066a4130f114e3,80310,curitiba,PR
8bd0f31cf0a614c658f6763bd02dea69,01222,sao paulo,SP
e38db885400cd35c71dfd162f2c1dbcf,70740,brasilia,DF
4e6015589b781adaa5ce7f1892d06bb1,11440,guaruja,SP
f7496d659ca9fdaf323c0aae84176632,04156,sao paulo,SP
2ff97219cb8622eaf3cd89b7d9c09824,13320,salto,SP
2a1348e9addc1af5aaa619b1a3679d6b,30494,belo horizonte,MG
116ccb1a1604bc88e4d234a8c23f33de,09850,sao bernardo do campo,SP
430315b7bb4b6e4b3c978f9dfa9b0558,04857,sao paulo,SP
406822777a0b9eb5c50e442dd4cd3ec5,18500,tatui,SP
d9a84e1403de8da0c3aa531d6d108ba6,03562,sao paulo,SP
1f9ab4708f3056ede07124aad39a2554,17602,tupa,SP
ec2e006556300a79a5a91e4876ab3a56,03445,sao paulo,SP
b2a6d334e2833acea353624840e25a0e,04133,sao paulo,SP
d3674f271c91f824f82d24d92011f669,72233,brasilia,DF
768de2a4fc06aacecb9a586ccc30746a,70645,brasilia,DF
8444e55c1f13cd5c179851e5ca5ebd00,37584,congonhal,MG
41ab63a91b8b264e8c8780368bf1dd5b,31555,belo horizonte,MG
d71d863e5ef30d94e440c11be17dcd8f,06144,osasco,SP
0c7533c71df861ec58ad7ff999ed0e8d,13270,valinhos,SP
ef990a83bbea832f36ebe81376335aa8,89214,joinville,SC
13c2ed7698b3ca92dad49e849219da59,84010,ponta grossa,PR
02ecc2a19303f05e59ce133fd923fff7,09121,santo andre,SP
c013e57c075a06e5b5c48ee03c525719,13568,sao carlos,SP
