customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
06b8999e2fba1a1fbc88172c00ba8bc7,861eff4711a542e4b93843c6dd7febb0,14409,franca,SP
2938121a40a20953c43caa8c98787fcb,482441ea6a06b1f72fe9784756c0ea75,05713,sao paulo,SP
e3109970a3fe8021d5ff82c577ce5606,a8654e2af5da6bb72f52c22b164855e1,05528,sao paulo,SP
c532a74a3ebf1bacce2e2bcce3783317,91ec50a00ae74d0a229d2efdf4344e1e,14026,ribeirao preto,SP
aa9f03ecd3728c9bd12e6d962c66c7cb,b03e9d9818ee170e9d6b983803c7d406,75388,trindade,GO
cc32707d2e2f7c92ab449f9b28154809,0d516ca029d6a28d5cfddd80b27a26dc,22440,rio de janeiro,RJ
0aae2862f8eac77f10a34f44860720ac,cd076285a12f40041b32f5ad8c98699f,05890,sao paulo,SP
12d1b4294fef21016c9614eb31e55e15,7556f182460418cf30957e6ce377c674,11347,sao vicente,SP
4cc465bb8ccb079ba561852ffa794668,7981196c7252350915beb9a7367d40b2,08743,mogi das cruzes,SP
e32daa14dfa90eff675034dc7d462cf3,52e57dd9218d99ea21b26f00c9151761,28909,cabo frio,RJ
f7c5afab273b47ab517e096e0219b932,b6c083700ca8c135ba9f0f132930d4e8,08686,suzano,SP
2f79ca5a979f66eb36747f4b354be942,bb50112c998293f45f49f49704165768,88840,urussanga,SC
bd30c8ec7f7139af7195e1f7f031e131,237c219a24b6a3183a216a5ca00f6edf,89031,blumenau,SC
49af8d1256e91058af5b255f4fbc0e6d,7cc3f51930537216ff70ecdc8f506a37,69049,manaus,AM
411373e81bbd24b0356ca1274e9c03fe,c555d42202667b1e09e50e7667b6a663,68908,macapa,AP
ce330ffe33e3f344ad5a80b8410c1ced,4df9aee56fa602c72756abb22ee60b17,06764,taboao da serra,SP
2c7fd840b20f1551c8a151f86349f19a,4c592d97ec529a019883285afe424187,95124,caxias do sul,RS
c45b7286a9a5cdce0152978d9f615be6,9a855ffadc7ac38bd30515d077c31fbb,41480,salvador,BA
8c4a94e823813e9e03460f5f42ce4fe8,be4656d02bf1e9d6663764ac9c7909ef,35160,ipatinga,MG
0b83af8e524bbb2aa83ba090f5be21ff,aaf2d0137050d06ef2c8752f35c0d936,13287,vinhedo,SP
2b6d4b2b966c8aa7413190f4b5dee130,2ee1f65b4197b8eb29826c06b876ba67,23820,itaguai,RJ
e1fb3bd29f0cc22b821938d2853e4cd5,dcdaced133f33e9651ddfe73b2350156,03105,sao paulo,SP
b069a3c6dd74a018f34884bbcd0cf0e2,cbc73c75d15c7292a3defd556c710b2a,88370,navegantes,SC
f7b083bc0eefdf761a28318a9052cf4a,73a0200d198dbc7022fbcb361cbef7f9,38950,ibia,MG
01993877990b2565abd4e3d741c45b79,9e6890852705a77f9e1ad72395131f27,30441,belo horizonte,MG
13e8265ea7e8a11df7a56799f5806220,d55417a83a73d1702b43988e63f0731a,08576,itaquaquecetuba,SP
95aa1acd3c367fcf72a56d106afc9838,34f0b37e89f9ef4768bdd233630f9b62,05894,sao paulo,SP
f9dfd7942a2d7f1588b7638a9bdc8ff1,ebf40c0db4fe06ddd15a7a44238c986e,24240,niteroi,RJ
0825646a316d8b2bdddea079a5e01fda,be2cff6c84f1683300337ecd499992e0,04001,sao paulo,SP
2fc226fece39c0126543c387768ad5ac,9a8809085c8feb9360f282fba0a6d87e,78307,campos de julio,MT
31b01af8b3ff7669130c48d6314da52b,1130878bf821f0b682431f513494c5f4,28625,nova friburgo,RJ
7d81b5f1ff0e0a22a9496943f1df6cbd,2aa9325eab1676f4d62830f004d67a34,12233,sao jose dos campos,SP
13b7ad9037c0906ddddf4671337aacfb,312f3a7159f8ae9a13199d7fbc53d1c7,25802,tres rios,RJ
48ed31e735f1c420ed6ca3637b7c744d,55a269f324455e78349e7b9b7e7e5911,08072,sao paulo,SP
72a483bdbb579a8b5c64ccf2dad900f8,4dbafcb931c678dd5ba9a20ed4f01f7f,17512,marilia,SP
a666bb7a77916be2716fa1420c73c56f,4e65032f1f574189fb793bac5a867bbc,09531,sao caetano do sul,SP
4b4773853bbbc435ddddd51bd6c6a002,f94d7c267f1bb6956a0c6c6fef65da8b,92425,canoas,RS
d5e9eb9208e37c9f39e6f19c0941b675,79066fb583868e4fdd17fc83a96db5e8,39648,chapada do norte,MG
397923ee893a17a79703c3d8cff22911,a4e7c06913461ef2298e10fb4cdd2d71,89280,sao bento do sul,SC
0b169717fec8c12a53790ce862ee480c,25e1b5240ae610b163924a49e7e85bc6,13845,mogi-guacu,SP
693214577dcce707468e89aee554cd90,483686d2c2ea82359b6aa0bb2b20829a,04313,sao paulo,SP
72b154a83078118969daf89bbe7fe225,0087c31081ea8d160baa06bf4ad4d76f,89227,joinville,SC
ae8e4d40dde287b1a730261c382a4887,8de2a640697fdc751bf88a16ae07591d,29026,vitoria,ES
aaad67429ea7d339bdf5f71ae3ef74f6,13613cae6e3bfea8327a916246c96cc9,05108,sao paulo,SP
